Time,storm,Label
44531,1,counter
44623,114,counter
44721,134,counter
44825,157,counter
44921,189,counter
45023,224,counter
45123,272,counter
45224,326,counter
45325,376,counter
45426,444,counter
45521,499,counter
45625,558,counter
45725,613,counter
45825,679,counter
45924,733,counter
46028,787,counter
46124,836,counter
46226,897,counter
46327,935,counter
46423,998,counter
46525,1052,counter
46621,1109,counter
46724,1164,counter
46822,1226,counter
46921,1285,counter
47021,1336,counter
47124,1395,counter
47221,1452,counter
47321,1501,counter
47424,1550,counter
47526,1607,counter
47622,1668,counter
47724,1738,counter
47821,1798,counter
47926,1871,counter
48021,1927,counter
48122,1998,counter
48221,2071,counter
48322,2135,counter
48425,2212,counter
48523,2265,counter
48622,2353,counter
48721,2428,counter
48822,2524,counter
48924,2608,counter
49022,2688,counter
49125,2757,counter
49221,2830,counter
49324,2911,counter
49423,2983,counter
49521,3072,counter
49621,3146,counter
49723,3206,counter
49824,3282,counter
49925,3351,counter
50023,3414,counter
50123,3492,counter
50221,3573,counter
50322,3645,counter
50466,3705,counter
50521,3746,counter
50622,3815,counter
50724,3877,counter
50823,3946,counter
50923,4039,counter
51028,4116,counter
51121,4199,counter
51222,4268,counter
51325,4363,counter
51427,4450,counter
51522,4522,counter
51622,4622,counter
51725,4712,counter
51822,4801,counter
51922,4879,counter
52021,4961,counter
52121,5032,counter
52221,5125,counter
52325,5222,counter
52422,5289,counter
52523,5367,counter
52624,5447,counter
52721,5538,counter
52821,5617,counter
52921,5692,counter
53023,5765,counter
53123,5869,counter
53223,5954,counter
53324,6041,counter
53421,6133,counter
53523,6195,counter
53625,6296,counter
53725,6401,counter
53821,6496,counter
53921,6590,counter
54027,6670,counter
54123,6748,counter
54223,6830,counter
54321,6905,counter
54422,6966,counter
54522,7045,counter
54621,7147,counter
54722,7234,counter
54825,7317,counter
54921,7407,counter
55022,7469,counter
55123,7587,counter
55223,7675,counter
55323,7730,counter
55422,7803,counter
55521,7870,counter
55624,7956,counter
55721,8041,counter
55823,8128,counter
55924,8193,counter
56024,8282,counter
56126,8365,counter
56221,8460,counter
56322,8535,counter
56421,8608,counter
56522,8693,counter
56627,8775,counter
56721,8847,counter
56823,8944,counter
56921,9048,counter
57022,9134,counter
57123,9206,counter
57222,9327,counter
57321,9402,counter
57425,9502,counter
57523,9588,counter
57623,9678,counter
57721,9743,counter
57823,9817,counter
57923,9870,counter
58021,9946,counter
