Time,flink,Label
5918,1,counter
5995,15,counter
6095,76,counter
6194,127,counter
6309,178,counter
6394,235,counter
6494,298,counter
6595,380,counter
6694,457,counter
6795,531,counter
6895,605,counter
6994,660,counter
7095,709,counter
7194,760,counter
7295,813,counter
7395,873,counter
7494,935,counter
7594,993,counter
7696,1067,counter
7794,1146,counter
7894,1234,counter
7994,1309,counter
8094,1389,counter
8194,1460,counter
8294,1546,counter
8395,1641,counter
8495,1716,counter
8594,1807,counter
8694,1921,counter
8794,2017,counter
8894,2110,counter
8994,2203,counter
9096,2324,counter
9195,2409,counter
9297,2480,counter
9394,2585,counter
9494,2665,counter
9594,2756,counter
9694,2853,counter
9794,2956,counter
9894,3072,counter
9994,3166,counter
10094,3252,counter
10194,3357,counter
10295,3447,counter
10394,3541,counter
10494,3639,counter
10594,3733,counter
10694,3812,counter
10794,3901,counter
10894,4002,counter
10994,4106,counter
11095,4216,counter
11194,4326,counter
11294,4435,counter
11394,4537,counter
11497,4629,counter
11594,4728,counter
11694,4855,counter
11794,4967,counter
11894,5058,counter
11995,5147,counter
12094,5238,counter
12196,5327,counter
12294,5425,counter
12395,5509,counter
12495,5603,counter
12594,5698,counter
12694,5803,counter
12794,5924,counter
12894,6091,counter
12994,6253,counter
13094,6418,counter
13194,6584,counter
13294,6723,counter
13394,6859,counter
13494,7000,counter
13594,7134,counter
13694,7291,counter
13794,7455,counter
13894,7604,counter
13994,7749,counter
14094,7899,counter
14194,8041,counter
14294,8215,counter
14394,8401,counter
14494,8490,counter
14594,8667,counter
14694,8806,counter
14794,8952,counter
14894,9088,counter
14994,9238,counter
15095,9359,counter
15194,9493,counter
15294,9673,counter
15394,9817,counter
15494,9980,counter
