Time,flink,Label
2855,1,counter
2889,7,counter
2900,17,counter
2909,26,counter
2919,39,counter
2950,73,counter
2979,111,counter
2989,126,counter
2999,139,counter
3009,155,counter
3019,171,counter
3029,186,counter
3039,194,counter
3049,204,counter
3059,215,counter
3070,230,counter
3079,241,counter
3089,253,counter
2816,1,counter
2816,1,counter
2842,2,counter
2846,4,counter
2854,13,counter
2864,25,counter
2874,39,counter
2885,53,counter
2894,64,counter
2904,77,counter
2934,115,counter
2945,132,counter
2954,147,counter
2964,162,counter
2974,179,counter
2974,179,counter
2984,194,counter
2995,210,counter
3004,221,counter
3014,238,counter
3025,254,counter
3054,297,counter
3065,308,counter
3075,316,counter
3084,325,counter
3094,338,counter
3104,355,counter
3114,374,counter
3124,386,counter
3134,395,counter
3144,411,counter
